"POOLID","RIAGENDR","RIDRAETN","RIDAGGRP","RIANSMP","SS028","SS044","SS049","SS052","SS066","SS074","SS087","SS099","SS101","SS110","SS128","SS138","SS146","SS149","SS151","SS153","SS170","SS172","SS177","SS178","SS180","SS183","SS187","SS194","SS195","SS196","SS199","SS206","SS209"
11,2,2,3,34,2.9,0.1,0.3,0.4,1.6,11.1,0.6,10.3,0.9,0.5,0.5,43.1,7.9,0.3,0.3,64.4,15.8,2.2,2.8,3.3,45,4.7,15.5,8.9,2,8.3,9.4,4.5,3.4
12,2,2,4,34,4,0.2,0.3,0.4,2.2,24.7,0.9,16.2,0.7,0.3,0.5,67.3,14.5,0.4,0.7,111.8,25.7,3.8,5.6,6,75.1,8,28.7,14.8,3.7,15.9,18.8,14.3,16.4
13,1,3,1,34,0.9,0.5,0.5,0.5,0.3,1.4,0.5,1.3,0.5,0.5,0.5,4.9,0.8,0.5,0.5,7.6,2.1,0.5,0.4,0.5,5.2,0.7,1.7,0.9,0.5,1.2,1,0.5,0.5
14,1,3,1,34,0.7,0.5,0.5,0.6,0.3,1.5,0.5,1.5,0.5,0.5,0.5,4.8,0.8,0.5,0.5,7.1,1.8,0.5,0.5,0.5,4.7,0.6,1.2,0.9,0.5,1,1,0.5,0.5
15,1,3,1,34,0.9,0.4,0.4,0.5,0.3,1.3,0.4,1.2,0.4,0.4,0.4,4.1,0.6,0.4,0.4,6.1,1.6,0.4,0.3,0.4,4.5,0.6,1.3,0.8,0.4,1.4,1.2,0.6,0.4
16,1,3,2,34,1.3,0.2,0.3,0.4,0.6,1.8,0.3,1.9,0.3,0.1,0.3,7.3,1.1,0.3,0.3,9.7,2.6,0.4,0.5,0.5,6.4,0.8,2,1.2,0.4,1.4,1.1,0.6,0.4
17,1,3,2,33,0.9,0.4,0.4,0.4,0.3,1.4,0.4,1.3,0.4,0.4,0.4,5.6,0.9,0.4,0.4,8.3,2.6,0.4,0.4,0.4,7.2,0.8,1.7,1.3,0.3,1.5,1.3,0.7,0.4
18,1,3,3,34,1.5,0.3,0.3,0.3,0.7,4.1,0.3,4.7,0.5,0.1,0.3,18.3,3,0.3,0.3,26.8,8.1,1.1,1.3,1.3,20.8,2.3,6.1,4.5,1,4.5,4.8,2.4,1.7
19,1,1,2,34,1.4,0.4,0.4,0.4,0.4,3.5,0.4,2.9,0.3,0.5,0.4,10.9,1.4,0.4,0.4,17.5,4.9,0.4,0.5,0.9,13.5,1.1,3.6,3.3,0.6,2.9,3,1.7,0.7
20,1,1,2,34,1.6,0.4,0.4,0.4,0.6,3.3,0.4,3.3,0.4,0.5,0.4,10.9,2.2,0.4,0.4,20.4,4.7,0.8,0.8,1,14.3,1.4,4.6,3.1,0.5,3.1,3,1.8,0.7
21,1,1,2,34,1.1,0.4,0.4,0.4,0.9,4.2,0.4,3.5,0.6,0.5,0.4,12.5,2.4,0.4,0.4,21.5,5.5,0.8,1,1.6,16.5,1.7,5.7,3.6,0.5,3.6,3.8,1.6,0.9
22,1,3,4,34,2.2,0.1,0.3,0.4,0.8,7.4,0.3,5.1,0.3,0.1,0.3,26.5,5,0.3,0.3,45.8,15.5,2.3,2.1,2.9,47.7,3.5,12,12.3,2.1,10.7,11.8,6.5,6
23,2,3,1,34,1.1,0.2,0.5,0.5,0.4,1.2,0.5,1.1,0.3,0.2,0.5,3.1,0.5,0.5,0.5,4.4,1.1,0.5,0.5,0.5,2.6,0.5,0.8,0.4,0.5,0.7,0.5,0.5,0.5
24,2,3,1,34,1.2,0.4,0.4,0.4,0.4,1,0.4,1.1,0.2,0.1,0.4,2.6,0.4,0.4,0.4,3.3,0.9,0.4,0.4,0.4,1.9,0.3,0.5,0.4,0.4,0.5,0.4,0.4,0.4
25,2,3,1,34,1.1,0.2,0.5,0.5,0.5,1.3,0.5,1.1,0.3,0.2,0.5,3.6,0.5,0.5,0.5,4.6,1.2,0.5,0.5,0.5,2.7,0.5,0.8,0.5,0.5,0.6,0.5,0.5,0.5
