"SEQN","OCD150","OCD180","OCQ210","OCD230","OCD240","OCQ260","OCD270","OCQ290G","OCQ290Q","OCD310B","OCQ340","OCQ350","OCQ360","OCQ380","OCD390G","OCD390","OCD395","OCQ420","OCQ430","OCQ440","OCQ450","OCQ470G","OCD470","OCD480"
10523,1,35,,39,22,1,7,2,,2,2,,,,1,19,30,,,,,,,
10524,1,20,2,40,35,4,96,1,1,,1,2,,,1,11,276,,2,,,,,
10527,1,30,2,2,27,1,72,2,,1,1,1,3,,2,,,,,,,,,
10528,4,,,,,,,,,,,,,6,1,17,120,2,,,,,,
10529,4,,,,,,,,,,,,,1,1,40,36,,,,,,,
10530,1,26,2,23,15,1,1,2,,,2,,,,1,11,8,,,,,,,
10534,4,,,,,,,,,,,,,6,1,30,99999,,,,,,,
10537,4,,,,,,,,,,,,,3,1,3,216,,,,,,,
10539,4,,,,,,,,,,,,,4,4,,,,,,,,,
10541,4,,,,,,,,,,,,,2,1,8,60,,,,,,,
10542,2,,1,18,16,2,216,2,,2,1,2,,,2,,,,,,,,,
10543,4,,,,,,,,,,,,,7,1,11,24,2,,,,,,
10545,1,40,,30,23,1,84,2,,,2,,,,2,,,,,,,2,,
10546,1,40,,27,1,1,7,1,1,2,2,,,,2,,,,,,,,,
10547,1,45,,44,3,3,108,1,1,,2,,,,2,,,,,,,,,
10548,1,9,2,26,11,1,48,2,,,2,,,,2,,,,,,,,,
10552,1,45,,41,24,5,48,2,,2,2,,,,1,19,60,,,,,,,
10556,1,40,,44,1,4,84,2,,2,2,,,,2,,,,,,,,,
10561,1,40,,31,29,1,24,1,2,1,1,2,,,1,31,36,,1,6,2,,,
10566,4,,,,,,,,,,,,,2,1,11,48,2,,,,4,,
10568,1,20,2,31,3,1,60,1,1,2,2,,,,2,,,,,,,,,
10569,1,46,,4,30,1,3,2,,2,2,,,,1,28,24,,,,,,,
10573,1,10,1,13,1,1,36,2,,2,2,,,,2,,,,,,,,,
10574,1,40,,4,34,1,12,2,,1,1,1,3,,2,,,,,,,,,
10576,4,,,,,,,,,,,,,3,1,25,336,2,,,,,,
10577,4,,,,,,,,,,,,,3,1,1,360,,,,,,,
10579,4,,,,,,,,,,,,,3,1,16,60,2,,,,,,
10581,1,40,,10,33,1,18,1,1,1,1,1,7,,1,1,60,,2,,,,,
10582,4,,,,,,,,,,,,,4,4,,,,,,,,,
10583,4,,,,,,,,,,,,,2,4,,,,,,,,,
10585,4,,,,,,,,,,,,,1,1,20,132,2,,,,4,,
10586,2,,1,38,8,1,264,2,,2,1,2,,,2,,,,,,,,,
10587,4,,,,,,,,,,,,,1,1,11,120,2,,,,,,
10590,1,60,,2,27,5,84,2,,1,1,1,1,,2,,,,,,,,,
10591,1,12,2,40,8,2,7,2,,2,2,,,,1,11,12,,,,,,,
10592,4,,,,,,,,,,,,,3,1,29,336,1,1,6,1,,,
