"SEQN","ACD010A","ACD010B","ACD010C","ACQ020","ACQ030","ACD040","ACQ050","ACQ060","ACD070","ACD080"
10914,1,,,,,,,,,
10915,1,,,,,,,,,
10917,1,,,,,,,,,
10918,,,,2,1,3,2,2,4,4
10920,1,,,,,,,,,
10921,1,,,,,,,,,
10922,1,,,,,,,,,
10924,,,,3,2,3,3,5,1,4
10926,1,,,,,,,,,
10927,,,,3,3,4,3,3,2,2
10928,1,,,,,,,,,
10929,1,,,,,,,,,
10931,,,,2,1,1,3,3,4,4
10933,,,,4,1,3,2,3,1,1
10934,1,,,,,,,,,
10935,1,,,,,,,,,
10936,,,,4,2,5,3,5,1,1
10937,,,,3,3,3,3,3,4,1
10938,1,,,,,,,,,
10939,,,,5,5,5,5,5,1,1
10940,1,,,,,,,,,
10941,,,,2,1,1,2,2,4,4
10942,1,,,,,,,,,
10943,,,,1,1,1,1,1,4,4
10944,1,,,,,,,,,
10945,1,,,,,,,,,
10946,1,,,,,,,,,
10947,,,,1,1,1,1,1,4,4
10948,1,,,,,,,,,
10949,1,,,,,,,,,
10950,,,,4,4,4,4,4,1,1
10951,1,,,,,,,,,
10957,1,,,,,,,,,
10959,1,,,,,,,,,
10962,1,,,,,,,,,
10963,1,,,,,,,,,
10964,1,,,,,,,,,
10965,,,,2,1,1,1,2,4,4
10966,,,,2,1,1,2,3,4,4
10968,1,,,,,,,,,
10971,,,,1,1,1,1,1,4,4
10972,,,,3,3,3,4,3,1,1
10973,,,,5,4,4,4,5,1,1
10974,,,,3,2,5,3,4,5,5
10975,1,,,,,,,,,
10976,1,,,,,,,,,
10977,1,,,,,,,,,
10978,1,,,,,,,,,
10979,1,,,,,,,,,
10980,1,,,,,,,,,
10981,1,,,,,,,,,
10982,1,,,,,,,,,
10984,1,,,,,,,,,
10985,1,,,,,,,,,
10988,,,,3,3,1,2,2,4,4
10989,,,,5,5,5,5,5,1,1
10990,1,,,,,,,,,
10991,1,,,,,,,,,
10992,1,,,,,,,,,
10995,,,,2,1,2,2,3,4,4
10996,1,,,,,,,,,
10997,,,,3,1,3,3,3,4,4
10998,1,,,,,,,,,
10999,1,,,,,,,,,
11001,,,3,,,,,,,
11002,,,,2,1,1,3,1,4,4
11003,1,,,,,,,,,
11004,1,,,,,,,,,
11005,1,,,,,,,,,
11006,1,,,,,,,,,
11012,1,,,,,,,,,
11013,1,,,,,,,,,
11014,1,,,,,,,,,
11016,,,,3,1,3,3,5,4,4
11017,1,,,,,,,,,
11018,1,,,,,,,,,
11019,1,,,,,,,,,
11020,1,,,,,,,,,
11021,1,,,,,,,,,
11023,1,,,,,,,,,
11024,,,,2,1,1,2,2,4,4
11025,,,,1,1,1,1,1,4,4
11028,1,,,,,,,,,
11030,1,,,,,,,,,
11031,1,,,,,,,,,
11032,1,,,,,,,,,
11033,1,,,,,,,,,
11035,1,,,,,,,,,
11037,1,,,,,,,,,
11038,1,,,,,,,,,
11040,1,,,,,,,,,
11041,1,,,,,,,,,
11044,,,,2,1,1,4,4,4,4
11045,1,,,,,,,,,
11046,,,,2,1,3,3,3,4,1
11049,1,,,,,,,,,
11051,,,,3,2,4,3,3,1,1
11052,1,,,,,,,,,
11055,1,,,,,,,,,
11061,,,,5,4,5,5,5,5,5
11062,1,,,,,,,,,
11063,1,,,,,,,,,
11064,,,3,,,,,,,
11065,,,,5,4,5,5,5,4,1
11066,,,,2,2,1,4,4,4,4
11067,,,,2,1,2,2,2,4,4
11068,1,,,,,,,,,
11070,1,,,,,,,,,
11072,1,,,,,,,,,
11074,,,,5,5,5,5,5,1,1
11075,,,,4,1,4,9,5,4,4
11077,1,,,,,,,,,
11078,1,,,,,,,,,
11079,1,,,,,,,,,
11080,1,,,,,,,,,
11082,1,,,,,,,,,
11084,1,,,,,,,,,
11085,1,,,,,,,,,
11086,1,,,,,,,,,
11087,1,,,,,,,,,
11088,1,,,,,,,,,
11090,1,,,,,,,,,
11092,1,,,,,,,,,
11093,1,,,,,,,,,
11096,,,,1,1,1,1,1,4,4
11097,1,,,,,,,,,
11098,1,,,,,,,,,
11099,,,,5,5,5,5,5,1,1
11102,1,,,,,,,,,
11103,1,,,,,,,,,
11104,1,,,,,,,,,
11105,1,,,,,,,,,
11106,1,,,,,,,,,
11107,,,,4,1,3,4,4,4,4
11108,1,,,,,,,,,
11109,,,,2,1,1,1,2,4,4
11110,1,,,,,,,,,
11111,,,,1,1,1,1,2,4,4
11112,,,,3,1,1,3,4,4,4
11118,1,,,,,,,,,
11119,1,,,,,,,,,
11121,,,,2,1,1,1,3,4,4
11125,1,,,,,,,,,
11126,1,,,,,,,,,
11127,1,,,,,,,,,
11128,1,,,,,,,,,
11129,,,,4,1,4,5,5,1,4
11130,1,,,,,,,,,
11132,1,,,,,,,,,
11133,1,,,,,,,,,
11134,1,,,,,,,,,
11135,1,,,,,,,,,
11136,,,,4,4,4,5,5,1,1
11137,1,,,,,,,,,
11138,1,,,,,,,,,
11140,,,,2,1,2,3,4,2,2
11141,,,,1,1,1,1,1,4,4
11142,,,,4,1,5,5,5,1,4
11143,1,,,,,,,,,
11144,1,,,,,,,,,
11145,,,,1,1,1,1,1,4,4
11146,1,,,,,,,,,
11148,1,,,,,,,,,
11149,1,,,,,,,,,
11150,1,,,,,,,,,
11151,1,,,,,,,,,
11152,1,,,,,,,,,
11153,,,,4,5,4,5,4,1,1
11154,1,,,,,,,,,
11156,1,,,,,,,,,
11157,1,,,,,,,,,
11158,1,,,,,,,,,
11160,1,,,,,,,,,
11161,1,,,,,,,,,
11162,1,,,,,,,,,
11163,1,,,,,,,,,
