"SEQN","HOQ011","HOD030","HOQ040","HOD050","HOD060","HOQ065","HOQ070","HOQ080","HOQ230","HOQ240","HOQ250","HOQ260A","HOQ260B","HOQ260C","HOQ270","HOQ280A","HOQ280B","HOQ280C"
31478,2,,1,7,1,1,1,1,2,2,2,,,,2,,,
31479,3,,1,5,1,2,1,2,2,2,2,,,,2,,,
31480,1,,99,5,4,1,2,1,2,2,2,,,,2,,,
31481,2,,1,9,5,1,1,1,2,2,1,1,,,,,,
31482,1,,1,5,2,1,2,2,2,2,1,1,,,,,,
31483,2,,1,10,2,1,1,2,1,2,2,,,,1,1,,
31484,2,,3,5,1,2,1,1,2,2,2,,,,2,,,
31485,2,,3,10,5,1,1,1,2,2,1,1,2,,,,,
31486,2,,1,6,4,1,1,2,2,2,1,,2,,,,,
31487,4,4,99,4,1,2,1,2,2,2,2,,,,2,,,
31488,2,,1,6,2,1,1,2,2,2,1,,2,,,,,
31489,2,,2,5,5,1,1,1,2,2,1,1,,,,,,
31490,1,,99,5,1,2,1,2,2,1,1,1,,,,,,
31491,1,,1,8,3,1,2,2,2,2,2,,,,2,,,
31492,4,3,99,3,2,2,1,2,2,2,2,,,,2,,,
31493,3,,4,4,2,2,1,1,2,1,2,,,,2,,,
31494,2,,1,13,4,1,2,2,2,2,1,1,,,,,,
31495,2,,4,8,4,1,1,2,1,2,2,,,,2,,,
31496,2,,2,6,5,1,1,2,2,1,1,1,,,,,,
31497,4,5,99,4,3,2,1,2,2,2,1,1,2,,,,,
31498,2,,99,2,2,2,1,2,2,2,2,,,,2,,,
31499,2,,1,5,2,1,2,1,2,2,1,,,3,,,,
31500,4,6,99,4,2,1,1,1,2,1,2,,,,2,,,
31501,3,,3,4,2,2,1,2,2,2,2,,,,2,,,
31502,2,,1,10,5,1,2,1,2,2,2,,,,2,,,
31503,2,,2,5,5,1,2,1,2,2,2,,,,2,,,
31504,2,,4,8,3,1,1,1,1,2,1,,2,,,,,
31505,2,,2,4,1,2,2,1,2,2,2,,,,2,,,
31506,2,,6,7,5,1,1,2,2,2,2,,,,2,,,
31507,2,,1,8,2,1,1,2,2,2,2,,,,1,1,,
31508,2,,4,5,5,1,1,1,2,1,1,1,2,,,,,
31509,3,,99,5,3,2,1,2,2,2,1,,,3,,,,
31510,1,,99,4,3,2,1,2,2,2,2,,,,2,,,
31511,4,5,2,6,1,2,1,2,2,2,2,,,,2,,,
31512,1,,99,4,1,2,1,2,2,2,2,,,,2,,,
31513,4,4,99,3,3,2,1,2,2,2,2,,,,2,,,
31514,2,,99,8,1,1,1,2,2,2,1,,,3,,,,
31515,4,3,5,4,3,2,1,2,2,1,2,,,,2,,,
31516,3,,99,4,5,2,2,2,2,1,2,,,,1,1,,
31517,2,,3,4,1,2,1,2,1,2,1,1,2,,,,,
31518,2,,5,8,3,3,1,2,1,2,2,,,,2,,,
31519,2,,2,6,3,1,2,1,2,2,1,1,,,,,,
31520,2,,4,4,1,2,1,2,2,2,2,,,,2,,,
31521,2,,6,11,3,1,1,2,2,1,1,1,2,,,,,
31522,4,4,2,7,1,2,1,2,2,2,2,,,,2,,,
31523,,,,,,,,,,,,,,,,,,
31524,2,,6,5,5,1,1,2,2,2,1,1,2,3,,,,
31525,2,,1,9,3,1,1,2,2,2,1,1,,,,,,
31526,2,,6,5,5,1,1,2,2,1,1,,2,,,,,
31527,4,5,5,4,5,2,1,2,2,2,1,1,,,,,,
31528,2,,99,6,1,1,1,2,2,2,2,,,,2,,,
31529,4,5,99,6,1,2,1,2,2,2,2,,,,2,,,
31530,4,3,99,6,4,1,1,2,1,2,2,,,,2,,,
31531,2,,3,6,5,1,2,2,2,2,1,1,,,,,,
31532,3,,1,5,1,2,1,2,1,2,2,,,,2,,,
31533,3,,6,7,2,2,1,2,2,1,2,,,,2,,,
31534,3,,99,5,1,2,1,2,2,1,2,,,,2,,,
31535,2,,99,5,3,2,1,2,2,2,2,,,,1,1,,
31536,2,,1,6,3,1,2,2,1,2,1,1,,,,,,
31537,4,3,6,7,5,1,1,2,1,2,1,1,2,,,,,
31538,2,,99,5,2,2,1,2,2,1,2,,,,2,,,
31539,2,,99,5,2,2,1,2,2,2,2,,,,2,,,
31540,2,,1,5,4,1,9,2,2,2,1,1,,,,,,
31541,3,,99,3,1,2,1,2,2,1,2,,,,2,,,
