"SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
42054,2,2,2,2,2,2,1,2,2,2,0.21,1,1,
42055,1,2,2,2,2,2,1,2,2,1,0.28,1,2,1
42056,2,2,2,2,1,2,2,2,2,4,1.29,1,2,2
42057,1,2,2,2,2,2,2,2,2,3,0.55,1,2,1
42058,1,2,2,2,2,2,2,2,2,2,0.51,1,2,1
42059,1,2,2,2,2,2,2,2,2,11,5,3,,
42060,1,2,2,2,2,2,2,2,1,5,0.97,1,2,99
42061,1,2,2,2,2,2,2,2,2,5,1.4,2,2,1
42062,1,2,2,2,2,2,2,2,2,9,4.38,3,,
42063,1,2,2,2,2,2,2,1,2,4,0.87,1,1,
42064,1,2,1,2,2,2,2,2,2,6,2.14,3,2,5
42065,2,1,2,2,2,2,2,1,2,11,5,3,,
42066,1,2,2,2,2,2,2,2,2,3,0.68,1,2,3
42067,2,2,1,2,1,2,2,1,2,4,1.37,2,2,1
42068,1,2,1,2,2,2,2,2,1,7,2.59,3,,
42069,1,2,2,2,2,2,2,2,1,3,0.6,1,2,5
42070,1,2,2,2,2,2,2,2,2,3,0.6,1,2,1
42071,1,2,2,2,2,2,2,2,2,7,2.08,3,,
42072,1,2,2,2,2,2,1,2,2,1,0.18,1,2,1
42073,1,2,2,2,2,2,2,2,2,5,1.02,1,,
42074,2,2,1,2,1,2,2,1,2,77,,7,7,
42075,1,1,2,2,2,2,2,2,2,11,3.96,3,,
42076,1,1,2,2,2,2,2,2,2,5,0.74,1,2,1
42077,2,2,1,1,1,2,1,2,2,9,5,3,,
42078,1,2,2,2,2,2,2,2,1,3,0.51,1,2,77
42079,2,2,1,2,2,2,2,1,2,9,4.38,3,,
42080,2,2,2,1,2,1,1,2,1,4,0.93,1,2,1
42081,2,2,1,2,2,1,2,1,2,7,2.52,3,,
42082,1,2,2,2,2,1,2,2,2,2,0.73,1,2,1
42083,1,2,2,2,2,2,2,2,2,1,0,1,,
42084,1,2,2,2,2,2,1,2,2,2,0.29,1,2,1
42085,2,1,2,2,2,2,2,2,2,1,0,1,2,1
42086,1,2,2,2,2,2,2,2,2,11,4.53,3,,
42087,1,2,2,2,2,2,2,2,2,6,2.88,3,,
42088,1,2,2,2,2,2,2,2,2,3,0.7,1,2,1
42089,1,1,2,2,2,2,2,1,2,11,3.96,3,,
42090,1,1,2,2,2,2,2,2,2,4,0.64,1,2,1
42091,1,2,2,2,2,2,2,1,2,7,2.05,3,,
42092,1,2,2,2,2,2,2,2,2,6,2.06,3,2,2
42093,1,1,2,2,2,2,2,1,2,12,5,3,,
42094,2,1,1,1,2,2,2,2,2,3,0.7,1,2,1
42095,1,2,2,2,2,2,2,2,1,5,0.77,1,2,5
42096,1,1,2,2,2,2,2,1,2,9,2.83,3,,
42097,1,2,2,2,2,2,2,2,2,3,1.05,1,2,2
42098,1,2,2,2,2,2,2,2,2,8,2.03,3,,
42099,2,2,1,2,1,2,2,2,2,9,4.38,3,,
42100,2,1,1,2,2,1,2,2,2,6,1.84,2,2,1
42101,1,2,2,2,2,2,2,1,2,12,4.97,3,,
42102,1,1,2,2,2,2,2,2,2,5,1.71,2,,
42103,2,2,1,2,1,2,2,1,2,7,3.07,3,,
42104,1,2,1,2,2,2,2,1,2,6,2.14,3,,
42105,1,1,2,2,2,2,2,2,2,8,2.8,3,,
42106,1,1,2,2,2,2,2,1,2,12,5,3,,
42107,2,2,1,2,1,2,2,1,2,7,2.63,3,,
42108,2,2,1,2,2,2,2,2,2,3,0.93,1,2,1
42109,1,1,2,2,2,2,2,2,1,8,3.43,3,,
42110,1,2,2,2,2,2,2,2,2,99,,3,,
42111,1,2,2,2,2,2,2,2,2,8,2.15,3,,
42112,1,2,2,2,2,2,2,1,1,11,4.18,3,,
42113,1,2,2,2,2,2,2,2,2,4,0.93,1,,
42114,1,2,2,2,2,2,2,1,2,7,2.03,3,,
42115,1,2,2,2,2,2,2,2,2,7,2.52,3,,
42116,1,2,2,2,2,2,2,2,2,7,1.04,1,2,1
42117,1,2,2,2,2,2,2,2,2,5,1.13,1,2,1
42118,1,2,2,2,2,2,2,2,2,8,2.26,3,,
42119,2,2,2,2,2,1,1,2,2,2,0.39,1,2,1
42120,2,2,1,2,1,2,2,1,2,11,5,3,,
42121,1,1,2,2,2,2,2,1,2,8,2.8,3,2,3
42122,1,2,2,2,2,2,2,1,2,11,4.54,3,,
42123,1,2,1,2,1,2,2,2,2,5,1.25,1,2,1
42124,1,2,1,2,1,2,2,2,2,9,5,3,,
42125,1,2,1,1,1,2,2,1,2,8,2.26,3,,
42126,1,1,2,2,2,2,2,1,2,10,3.2,3,,
42127,1,2,1,2,9,2,2,2,1,6,1.51,2,2,1
42128,1,2,2,2,2,2,2,1,2,10,3.49,3,,
42129,1,1,2,2,2,2,2,2,2,7,1.13,1,2,1
42130,1,2,2,2,2,2,2,1,2,11,3.63,3,,
42131,1,2,2,2,2,2,2,2,2,4,1.73,2,2,1
42132,1,2,2,2,2,2,2,1,1,6,1.19,1,2,1
42133,1,2,2,2,2,2,2,2,2,12,5,3,,
42134,1,2,2,2,2,2,2,2,2,5,1.58,2,,
42135,1,2,2,2,2,2,2,2,2,1,0,1,,
42136,1,2,2,2,2,2,2,2,2,6,1.93,3,2,1
42137,1,1,2,2,2,2,2,2,2,11,3.48,3,,
42138,1,2,2,2,2,2,2,2,2,3,0.45,1,2,1
42139,1,2,2,2,2,2,2,2,2,6,1,1,1,
42140,1,2,2,2,2,2,2,2,2,7,1.3,1,,
42141,2,2,2,2,2,2,2,2,2,9,4.29,3,1,
42142,1,2,2,2,2,2,2,2,2,12,4.78,3,,
42143,1,2,2,1,1,2,2,2,2,9,4.11,3,,
