"SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
62540,1,1,2,2,2,2,2,2,2,7,1.93,3,,
62541,1,1,2,2,2,2,2,1,1,3,0.65,1,,
62542,1,2,2,2,2,2,2,2,2,3,0.36,1,2,1
62543,2,2,2,1,2,2,1,2,1,2,0.29,1,2,1
62544,1,2,2,2,2,2,2,1,2,9,3.24,3,,
62545,2,1,2,2,2,2,2,2,2,12,5,3,,
62546,1,2,1,2,1,2,2,1,2,5,2.04,3,,
62547,1,2,2,2,2,2,2,2,2,3,0.53,1,2,1
62548,2,1,1,2,2,2,2,1,2,8,3.33,3,,
62549,1,2,2,2,2,2,2,9,2,77,,3,,
62550,1,2,2,2,2,2,2,1,2,11,4.3,3,,
62551,1,1,2,2,2,2,2,1,2,12,5,3,,
62552,1,2,2,2,2,2,2,2,2,11,2.89,3,,
62553,1,2,1,2,2,1,2,2,2,11,2.6,3,,
62554,1,1,2,2,2,2,2,1,2,11,4.53,3,,
62555,1,2,2,2,2,2,2,2,1,6,1.45,2,2,1
62556,1,2,2,2,2,2,2,2,2,9,3.24,3,,
62557,1,2,2,2,2,2,2,2,2,4,0.48,1,2,1
62558,1,2,2,2,2,2,2,2,2,8,2.15,3,,
62559,1,2,2,2,2,2,2,2,2,4,0.49,1,2,1
62560,1,2,2,2,2,2,2,2,2,,,,,
62561,1,2,2,2,2,2,2,1,2,9,3.24,3,,
62562,2,2,2,2,2,2,2,2,2,1,0,1,2,1
62563,1,1,1,2,1,2,2,1,2,77,,3,1,
62564,2,2,2,2,2,2,2,2,2,1,0.26,1,2,1
62565,2,2,2,2,2,2,2,2,1,3,1.1,1,,
62566,1,2,2,2,2,2,2,2,1,1,0,1,2,1
62567,2,2,1,2,1,2,2,2,2,99,,9,9,
62568,1,2,2,2,2,2,2,2,2,5,0.89,1,2,1
62569,1,2,1,2,2,2,2,1,2,99,,3,,
62570,2,1,2,2,2,2,2,2,2,2,0.31,1,2,1
62571,1,1,2,2,2,2,2,1,2,11,2.98,3,,
62572,2,2,1,2,2,2,2,2,2,7,3.22,3,,
62573,1,2,2,2,2,2,2,2,2,2,0.66,1,2,99
62574,1,2,2,2,2,2,2,2,2,6,1.51,2,,
62575,1,2,9,2,2,2,2,2,2,99,,3,2,1
62576,1,2,2,2,2,1,2,2,2,9,2.22,3,,
62577,2,2,1,2,1,2,2,2,2,5,1.63,2,,
62578,1,2,2,2,2,2,2,2,2,6,1.16,1,2,1
62579,1,2,1,2,2,2,2,2,2,4,1.04,1,2,1
62580,1,1,2,2,2,2,2,2,2,99,,9,2,1
62581,2,1,2,2,2,2,2,2,2,12,5,3,,
62582,1,2,2,2,2,2,2,2,2,3,0.87,1,2,1
62583,1,1,1,2,1,2,2,2,2,7,1.61,2,,
62584,1,2,2,2,2,2,2,1,2,10,4.89,3,,
62585,2,2,1,2,2,2,2,2,2,3,0.98,1,2,1
62586,2,2,2,2,1,2,2,2,2,4,1.54,2,,
62587,1,1,1,2,2,1,2,2,2,3,1.07,1,2,1
62588,1,2,2,2,2,2,2,2,1,2,0.44,1,2,1
62589,1,2,2,2,2,2,2,2,2,7,1.89,3,,
