"SEQN","FSD032A","FSD032B","FSD032C","FSD032D","FSD032E","FSD032F","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSD401","FSD411","FSD421","FSD431","FSQ440","FSD451","FSQ170","FSD170N","FSD180","FSD190","FSD200","FSQ210","FSQ220","FSQ162","FSD650","FSD660","FSD670"
31278,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31279,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31280,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31281,1,2,2,3,3,3,1,2,1,1,9,2,,2,2,,2,2,3,4,1,1,3,3,2,3,,2,2,0,2,,,,,2,2,,
31282,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31283,2,2,2,2,3,3,2,,2,2,2,,,,,,,,3,3,2,2,3,3,3,3,,,2,0,2,,,,,1,1,1,1
31284,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31285,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31286,2,3,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,3,3,3,3,2,,2,0,2,,,,,1,,,
31287,2,3,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,3,3,3,3,,,2,0,2,,,,,2,2,,
31288,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31289,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31290,2,3,3,2,3,3,2,,2,2,2,,,,,,,,2,2,2,2,,,,,,,2,0,2,,,,,1,,,
31291,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31292,2,3,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,3,3,3,3,,2,2,0,2,,,,,2,,,
31293,2,3,1,2,2,3,2,,2,2,2,,,,,,,,3,2,3,2,2,2,2,2,,2,2,0,2,,,,,2,,,
31294,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31295,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,5,1,12,1,405,,2,,,
31296,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
31297,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31298,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
31299,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31300,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31301,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31302,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,2,,
31303,2,2,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,2,3,3,3,2,2,2,0,2,,,,,1,,,
31304,2,2,2,,,,2,,2,2,2,,,,,,,,3,3,,2,3,3,3,3,2,,2,0,2,,,,,,,,
31305,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31306,3,2,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,3,3,3,3,,,1,1,2,,,,279,1,1,1,5
31307,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31308,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31309,1,1,1,,,,1,1,2,2,2,2,,,,,,,3,3,,2,3,3,3,3,2,,2,0,2,,,,,2,,,
31310,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31311,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31312,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31313,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,6,1,11,1,730,,1,,,
31314,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31315,2,3,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,3,3,3,3,,,2,0,2,,,,,1,1,1,36
31316,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31317,2,2,2,,,,1,2,1,1,2,2,,,,,,,4,4,,1,2,2,2,2,2,2,2,0,2,,,,,,,,
31318,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,5,1,12,1,601,,2,,,
31319,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31320,3,3,3,1,3,3,2,,2,2,2,,,,,,,,2,1,2,2,3,3,3,3,,2,2,0,2,,,,,2,,,
31321,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,1,1,1,7
31322,2,3,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,3,3,3,3,,,2,0,2,,,,,1,2,,
31323,3,1,3,,,,2,,2,2,2,,,,,,,,2,2,,2,9,3,3,3,2,,2,0,2,,,,,,,,
31324,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31325,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,,,
31326,1,1,1,1,3,3,1,1,1,1,2,2,,2,2,,2,2,4,4,2,2,1,3,1,2,,2,1,1,2,,,200,,1,1,1,36
31327,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,1,1,14
31328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31329,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31330,2,2,2,2,2,2,2,,2,2,2,2,,2,2,,2,2,3,3,3,2,3,3,3,3,2,,1,5,2,,,330,,1,,,
31331,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31332,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31333,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31334,3,3,2,,,,2,,2,2,2,,,,,,,,2,2,,2,3,3,3,3,2,,2,0,2,,,,,2,,,
31335,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
31336,1,1,2,2,2,2,1,1,1,2,2,2,,2,2,,2,2,4,4,3,1,1,1,1,1,2,2,2,0,2,,,,,2,,,
31337,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31338,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,4,1,12,1,280,,2,1,2,18
31339,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31340,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
31341,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31342,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31343,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31344,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31345,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
