"SEQN","ACD010A","ACD010B","ACD010C","ACQ020","ACQ030","ACD040","ACQ050","ACQ060","ACD070","ACD080"
22106,1,,,,,,,,,
22107,1,,,,,,,,,
22108,1,,,,,,,,,
22109,1,,,,,,,,,
22110,,,,1,1,1,3,2,4,4
22111,,,,2,1,1,1,3,5,5
22114,1,,,,,,,,,
22115,1,,,,,,,,,
22116,1,,,,,,,,,
22119,,,,5,5,5,5,5,1,1
22122,1,,,,,,,,,
22123,1,,,,,,,,,
22126,1,,,,,,,,,
22127,1,,3,,,,,,,
22129,,,,3,1,5,5,3,4,4
22130,1,,,,,,,,,
22131,1,,,,,,,,,
22132,1,,,,,,,,,
22134,1,,3,,,,,,,
22135,1,,,,,,,,,
22136,,,,1,1,1,1,1,4,4
22137,1,,,,,,,,,
22139,1,,,,,,,,,
22140,1,,,,,,,,,
22141,1,,,,,,,,,
22142,1,,,,,,,,,
22143,1,,,,,,,,,
22144,1,,,,,,,,,
22146,,,,2,1,1,1,3,4,1
22149,1,,,,,,,,,
22150,1,,,,,,,,,
22153,,,,2,1,1,1,2,4,4
22154,1,,,,,,,,,
22155,,,,3,1,4,4,3,4,4
22156,1,,,,,,,,,
22160,,,,5,5,5,5,5,1,1
22162,1,,,,,,,,,
22163,1,,,,,,,,,
22164,1,,,,,,,,,
22165,1,,,,,,,,,
22166,1,,,,,,,,,
22168,1,,,,,,,,,
22171,1,,,,,,,,,
22174,1,,,,,,,,,
22175,1,,,,,,,,,
22176,1,,,,,,,,,
22177,1,,,,,,,,,
22179,1,,,,,,,,,
22180,1,,,,,,,,,
22182,1,,,,,,,,,
22183,1,,,,,,,,,
22185,,,,4,3,5,5,5,1,4
22186,1,,,,,,,,,
22187,1,,,,,,,,,
22188,1,,,,,,,,,
22193,1,,,,,,,,,
22194,1,,,,,,,,,
22195,1,,,,,,,,,
22196,1,,3,,,,,,,
22197,1,,,,,,,,,
22198,1,,,,,,,,,
22199,1,,,,,,,,,
22202,1,,,,,,,,,
22203,1,,,,,,,,,
22206,1,,,,,,,,,
22207,,,,5,5,5,5,5,1,1
22208,,,,3,1,3,3,5,4,4
22210,1,,,,,,,,,
22211,,,,3,1,3,1,2,1,4
22213,1,,,,,,,,,
22214,1,,,,,,,,,
22215,1,,,,,,,,,
22216,1,,,,,,,,,
22217,1,,,,,,,,,
22218,,,,2,1,2,4,4,4,4
22219,1,,,,,,,,,
22220,1,,,,,,,,,
22222,1,,3,,,,,,,
22224,1,,,,,,,,,
22226,,,,1,1,1,1,1,4,4
22229,1,,,,,,,,,
22230,,,,4,1,4,1,3,5,4
22231,1,,,,,,,,,
22232,,,3,,,,,,,
22233,,,,3,1,1,1,3,4,4
22234,1,,,,,,,,,
22235,1,,,,,,,,,
22236,1,,,,,,,,,
22237,1,,,,,,,,,
22238,1,,,,,,,,,
22239,1,,,,,,,,,
22241,1,,,,,,,,,
22243,,,,2,1,1,1,1,4,4
22245,,,,2,1,1,1,1,1,4
22246,1,,,,,,,,,
