"SEQN","FSD160","FSD170N","FSD180","FSD190","FSD200","FSQ400","FSQ410","FSQ420","FSQ430","FSQ440","FSD450","FSQ460","FSQ470","FSQ480","FSQ490","FSQ500","FSQ510","FSD520","FSD655","FSD660C","FSD665","FSQ650","FSD660M","FSD670","HHFDSEC","ADFDSEC","CHFDSEC"
10133,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10134,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
10135,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10136,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10137,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,1
10138,2,,,,,,,,,,,,2,2,2,2,,2,2,,,,,,2,2,1
10139,2,,,,,,,,,,,,2,2,2,2,,2,1,1,2,,,,3,3,3
10140,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10141,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10142,,,,,,2,,2,2,2,2,,,,,,,,,,,,,,2,2,
10143,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10144,1,2,1,,,,,,,,,,,,,,,,,,,,,,1,1,1
10145,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
10146,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10147,1,5,1,11,1,,,,,,,,1,1,9,2,,2,2,,,,,,4,4,3
10148,1,3,1,8,1,,,,,,,,2,2,2,2,,2,1,1,2,,,,3,3,1
10149,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10150,2,1,2,,,,,,,,,,,,,,,,,,,,,,2,2,
10151,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10152,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10153,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10155,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
10156,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10157,1,,,,,,,,,,,,2,2,2,2,,2,1,1,1,,,,2,1,2
10158,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10159,,1,2,,,,,,,,,,,,,,,,,,,,,,1,1,1
10160,2,3,1,4,1,,,,,,,,,,,,,,2,,,,,,3,3,2
10161,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10162,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
10164,1,,,,,,,,,,,,2,2,2,2,,2,1,1,1,,,,3,3,3
10165,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10166,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10167,,,,,,1,5,1,2,2,2,,,,,,,,,,,,,,4,4,
10168,1,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
10169,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10170,1,,,,,,,,,,,,,,,,,,1,1,3,,,,1,1,1
10171,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,
10172,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10173,1,4,1,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1
10174,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
10175,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10176,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10177,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10178,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,2,2,
10179,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10180,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10181,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10182,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
